Category,Command,Binding,When
Terminal view commands,Terminal view insert,Alt+V,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+W,Terminal Typing Connected
ASA 9.x table schema editor,Cut,Alt+X,In Windows
Database Tools,Execute Selected Text,Alt+X,Editing SQL
Terminal view commands,Terminal view insert,Alt+Y,Terminal Typing Connected
Git,Commit...,Ctrl+#,In Windows
Text Editing,Zoom In,Ctrl++,Editing Text
Navigate,Previous,Ctrl+,,In Windows
Text Editing,Zoom Out,Ctrl+-,Editing Text
View,Zoom Out,Ctrl+-,In Windows
Navigate,Next,Ctrl+.,In Windows
Edit,Toggle Comment,Ctrl+/,Editing SQL
Source,Toggle Comment,Ctrl+/,Editing Java Source
Source,Toggle Comment,Ctrl+/,Editing JavaScript Source
Source,Toggle Comment,Ctrl+/,Editing Properties Files
Text Editing,Zoom In,Ctrl+=,Editing Text
View,Zoom In,Ctrl+=,In Windows
Edit,Quick Fix,Ctrl+1,In Dialogs and Windows
Source,Annotate Class File,Ctrl+1,Browsing attached Java Source
Source,Quick Assist - Assign to field,Ctrl+2, F,Editing Java Source
Source,Quick Assist - Assign to var,Ctrl+2, F,Editing JavaScript Source
Source,Quick Assist - Assign to local variable,Ctrl+2, L,Editing Java Source
Source,Quick Assist - Assign to local variable,Ctrl+2, L,Editing JavaScript Source
Source,Quick Assist - Extract method,Ctrl+2, M,Editing Java Source
Source,Quick Assist - Rename in file,Ctrl+2, R,Editing Java Source
Source,Quick Assist - Rename in file,Ctrl+2, R,Editing JavaScript Source
Window,Quick Access,Ctrl+3,In Windows
Source,Toggle Comment,Ctrl+7,Editing Java Source
Source,Toggle Comment,Ctrl+7,Editing JavaScript Source
Source,Toggle Comment,Ctrl+7,Editing Properties Files
Window,Toggle Split Editor (Horizontal),Ctrl+_,In Windows
Edit,Select All,Ctrl+A,In Dialogs and Windows
Run/Debug,Skip All Breakpoints,Ctrl+Alt+B,In Windows
Database Tools,Debug,Ctrl+Alt+D,Editing SQL
Server,Debug,Ctrl+Alt+D,In Servers View
Text Editing,Copy Lines,Ctrl+Alt+Down,Editing Text
Uncategorized,Replace all,Ctrl+Alt+Enter,Inline Search is active
Search,Find Text in Workspace,Ctrl+Alt+G,In Windows
Navigate,Open Call Hierarchy,Ctrl+Alt+H,In Windows
Navigate,Open Call Hierarchy,Ctrl+Alt+H,JavaScript View
Text Editing,Join Lines,Ctrl+Alt+J,Editing Text
Run/Debug,Add Memory Block,Ctrl+Alt+M,In Memory View
Run/Debug,Next Memory Monitor,Ctrl+Alt+N,In Memory View
Server,Publish,Ctrl+Alt+P,In Servers View
Window,Select Maven Profiles,Ctrl+Alt+P,In Windows
Database Tools,Run,Ctrl+Alt+R,Editing SQL
Server,Run,Ctrl+Alt+R,In Servers View
Server,Stop,Ctrl+Alt+S,In Servers View
Uncategorized,Add Artifact to Target Platform,Ctrl+Alt+Shift+A,In Windows
Focused UI,Make Less Interesting,Ctrl+Alt+Shift+Down,In Windows
Navigate,Open Remote Task,Ctrl+Alt+Shift+F12,In Windows
Spy,Layout Spy,Ctrl+Alt+Shift+F9,In Dialogs and Windows
Navigate,Open Manifest,Ctrl+Alt+Shift+M,In Windows
Focused UI,Show Context Quick View,Ctrl+Alt+Shift+Right,In Windows
Terminal Commands,Open Local Terminal on Selection,Ctrl+Alt+Shift+T,In Windows
Focused UI,Make Landmark,Ctrl+Alt+Shift+Up,In Windows
Terminal Commands,Open Local Terminal on Selection,Ctrl+Alt+T,In Windows
Text Editing,Duplicate Lines,Ctrl+Alt+Up,Editing Text
Database Tools,Execute All,Ctrl+Alt+X,Editing SQL
Run/Debug,Run Gradle Test,Ctrl+Alt+X, G,In Windows
Project,Build All,Ctrl+B,In Windows
Text Editing,Delete Previous Word,Ctrl+Backspace,Editing Text
SQL Results View,Terminate Result,Ctrl+Break,In Windows
Edit,Copy,Ctrl+C,In Dialogs and Windows
Git,Copy Path to Clipboard,Ctrl+C,In Git Repositories View
Uncategorized,Copy SHA-1,Ctrl+C,In Git Reflog View
Text Editing,Delete Line,Ctrl+D,Editing Text
SQL Results View,Remove Result,Ctrl+Delete,In Windows
Text Editing,Delete Next Word,Ctrl+Delete,Editing Text
Text Editing,Scroll Line Down,Ctrl+Down,Editing Text
Uncategorized,Open replace bar,Ctrl+Down,Inline Search is active
Window,Quick Switch Editor,Ctrl+E,In Windows
Text Editing,Text End,Ctrl+End,Editing Text
JavaScript Debug,JavaScript Breakpoint Properties,Ctrl+Enter,In Breakpoints View
Task Repositories,Open Selected Task,Ctrl+Enter,In Tasks View
Edit,Find and Replace,Ctrl+F,In Windows
Inline Search`,Show Search Bar,Ctrl+F,Editing Text
Window,Show Ruler Context Menu,Ctrl+F10,Editing Text
Window,Show View Menu,Ctrl+F10,In Dialogs and Windows
Run/Debug,Run,Ctrl+F11,In Windows
Navigate,Open Task,Ctrl+F12,In Windows
Run/Debug,Terminate,Ctrl+F2,Debugging
Navigate,Open Structure,Ctrl+F3,Editing Java Source
Navigate,Open Structure,Ctrl+F3,Editing JavaScript Source
File,Close,Ctrl+F4,In Windows
Navigate,Next Page,Ctrl+F5,In Faces Config Editor
Navigate,Next Page,Ctrl+F5,Using Web Page Editor
Run/Debug,Step Into Selection,Ctrl+F5,Debugging
Window,Next Editor,Ctrl+F6,In Windows
Window,Next View,Ctrl+F7,In Windows
Window,Next Perspective,Ctrl+F8,In Windows
Navigate,Activate Task,Ctrl+F9,In Windows
Run/Debug,Go to Address,Ctrl+G,In Table Memory Rendering
Search,Declaration in Workspace,Ctrl+G,In Windows
Search,Declaration in Workspace,Ctrl+G,JavaScript View
Search,File Search,Ctrl+H,In Tasks View
Text Editing,Text Start,Ctrl+Home,Editing Text
Edit,Format Active Elements,Ctrl+I,Editing in Structured Text Editors
Source,Correct Indentation,Ctrl+I,Editing Java Source
Source,Indent Line,Ctrl+I,Editing JavaScript Source
Edit,Copy,Ctrl+Insert,In Dialogs and Windows
Terminal view commands,Copy,Ctrl+Insert,Terminal Control in Focus
Edit,Incremental Find,Ctrl+J,Editing Text
Edit,Find Next,Ctrl+K,Editing Text
Navigate,Go to Line,Ctrl+L,Editing Text
Text Editing,Previous Word,Ctrl+Left,Editing Text
Window,Maximize Active View or Editor,Ctrl+M,In Windows
File,New,Ctrl+N,In Windows
Run/Debug,New Rendering,Ctrl+N,In Memory View
Text Editing,Expand,Ctrl+Numpad_Add,Editing Text
Text Editing,Toggle Folding,Ctrl+Numpad_Divide,Editing Text
Text Editing,Expand All,Ctrl+Numpad_Multiply,Editing Text
Text Editing,Collapse,Ctrl+Numpad_Subtract,Editing Text
Navigate,Quick Outline,Ctrl+O,Editing in Structured Text Editors
Navigate,Quick Outline,Ctrl+O,Editing Java Source
Navigate,Quick Outline,Ctrl+O,Editing JavaScript Source
Navigate,Quick Outline,Ctrl+O,PDE editor
Navigate,Quick Outline,Ctrl+O,WikiText Markup Source Context
Task Repositories,Quick Outline,Ctrl+O,In Tasks Editor
File,Print,Ctrl+P,In Windows
Navigate,Last Edit Location,Ctrl+Q,In Windows
Run/Debug,Run to Line,Ctrl+R,Debugging
Text Editing,Next Word,Ctrl+Right,Editing Text
File,Save,Ctrl+S,In Windows
Run/Debug,Previous Page of Memory,Ctrl+Shift+,,In Table Memory Rendering
Run/Debug,Next Page of Memory,Ctrl+Shift+.,In Table Memory Rendering
Edit,Add Block Comment,Ctrl+Shift+/,Editing in Structured Text Editors
Source,Add Block Comment,Ctrl+Shift+/,Editing Java Source
Source,Add Block Comment,Ctrl+Shift+/,Editing JavaScript Source
Edit,Matching Tag,Ctrl+Shift+>,Editing in Structured Text Editors
Uncategorized,Replace/Find selection,Ctrl+Shift+1,Inline Search is active
JavaScript Debug,Open Source,Ctrl+Shift+3,Debugging
Edit,Remove Block Comment,Ctrl+Shift+\,Editing in Structured Text Editors
Source,Remove Block Comment,Ctrl+Shift+\,Editing Java Source
Source,Remove Block Comment,Ctrl+Shift+\,Editing JavaScript Source
Edit,Occurrences in File,Ctrl+Shift+A,Editing in Structured Text Editors
Navigate,Open Plug-in Artifact,Ctrl+Shift+A,In Windows
Run/Debug,Toggle Breakpoint,Ctrl+Shift+B,In Windows
Edit,Toggle Comment,Ctrl+Shift+C,Editing in Structured Text Editors
Source,Toggle Comment,Ctrl+Shift+C,Editing Java Source
Source,Toggle Comment,Ctrl+Shift+C,Editing JavaScript Source
Source,Toggle Comment,Ctrl+Shift+C,Editing Properties Files
Terminal view commands,Copy,Ctrl+Shift+C,Terminal Control in Focus
Edit,Add Maven Dependency,Ctrl+Shift+D,Editing XML Source
Run/Debug,Display,Ctrl+Shift+D,In Dialogs and Windows
Text Editing,Delete to End of Line,Ctrl+Shift+Delete,Editing Text
Edit,Next Sibling,Ctrl+Shift+Down,Editing in Structured Text Editors
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing Java Source
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing JavaScript Source
Window,Switch to Editor,Ctrl+Shift+E,In Windows
Text Editing,Insert Line Above Current Line,Ctrl+Shift+Enter,Editing Text
Edit,Format,Ctrl+Shift+F,Editing in Structured Text Editors
Manifest Editor Source,Format Source,Ctrl+Shift+F,PDE editor
Source,Format,Ctrl+Shift+F,Editing Ant Buildfiles
Source,Format,Ctrl+Shift+F,Editing Java Source
Source,Format,Ctrl+Shift+F,Editing JavaScript Source
Web Page Editor Layout,Horizontal Layout,Ctrl+Shift+F10,Using Web Page Editor
Run/Debug,Coverage Last Launched,Ctrl+Shift+F11,In Windows
Web Page Editor Layout,Graphical Designer,Ctrl+Shift+F11,Using Web Page Editor
Navigate,Search Repository for Task,Ctrl+Shift+F12,In Windows
Web Page Editor Layout,Source Code,Ctrl+Shift+F12,Using Web Page Editor
File,Close All,Ctrl+Shift+F4,In Windows
Navigate,Previous Page,Ctrl+Shift+F5,In Faces Config Editor
Navigate,Previous Page,Ctrl+Shift+F5,Using Web Page Editor
Window,Previous Editor,Ctrl+Shift+F6,In Windows
Window,Previous View,Ctrl+Shift+F7,In Windows
Window,Previous Perspective,Ctrl+Shift+F8,In Windows
Navigate,Deactivate Task,Ctrl+Shift+F9,In Windows
Web Page Editor Layout,Vertical Layout,Ctrl+Shift+F9,Using Web Page Editor
Search,References in Workspace,Ctrl+Shift+G,In Windows
Search,References in Workspace,Ctrl+Shift+G,JavaScript View
Uncategorized,Find References,Ctrl+Shift+G,in Generic Code Editor
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,In Windows
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,JavaScript View
Run/Debug,Inspect,Ctrl+Shift+I,Chromium Debug
Run/Debug,Inspect,Ctrl+Shift+I,In Dialogs and Windows
Edit,Toggle Insert Mode,Ctrl+Shift+Insert,Editing Text
Edit,Incremental Find Reverse,Ctrl+Shift+J,Editing Text
Edit,Find Previous,Ctrl+Shift+K,Editing Text
Window,Show Key Assist,Ctrl+Shift+L,In Dialogs and Windows
Text Editing,Select Previous Word,Ctrl+Shift+Left,Editing Text
Edit,Add Im&port,Ctrl+Shift+M,Editing JSP Source
Source,Add Import,Ctrl+Shift+M,Editing Java Source
Source,Add Import,Ctrl+Shift+M,Editing JavaScript Source
Task Editor,Maximize Part,Ctrl+Shift+M,In Tasks Editor
Run/Debug,All Instances,Ctrl+Shift+N,In Windows
Navigate,Collapse All,Ctrl+Shift+Numpad_Divide,In Windows
Text Editing,Collapse All,Ctrl+Shift+Numpad_Divide,Editing Text
Navigate,Expand All,Ctrl+Shift+Numpad_Multiply,In Windows
Text Editing,Reset Structure,Ctrl+Shift+Numpad_Multiply,Editing Text
Navigate,Quick Outline,Ctrl+Shift+O,Task Markup Editor Source Context
Source,Organize Imports,Ctrl+Shift+O,In Windows
Source,Organize Imports,Ctrl+Shift+O,JavaScript View
Database Tools,Goto Matching Token,Ctrl+Shift+P,Editing SQL
Edit,Add Maven Plugin,Ctrl+Shift+P,Editing XML Source
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing Java Source
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing JavaScript Source
Navigate,Matching Character,Ctrl+Shift+P,Editing in Structured Text Editors
Edit,Quick Diff Toggle,Ctrl+Shift+Q,Editing Text
Navigate,Open Resource,Ctrl+Shift+R,In Windows
Text Editing,Select Next Word,Ctrl+Shift+Right,Editing Text
File,Save All,Ctrl+Shift+S,In Windows
Edit,Context Information,Ctrl+Shift+Space,In Dialogs and Windows
Navigate,Open Type,Ctrl+Shift+T,Editing JavaScript Source
Navigate,Open Type,Ctrl+Shift+T,In Windows
Search,Show Occurrences in File Quick Menu,Ctrl+Shift+U,In Windows
Search,Show Occurrences in File Quick Menu,Ctrl+Shift+U,JavaScript View
Edit,Previous Sibling,Ctrl+Shift+Up,Editing in Structured Text Editors
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing Java Source
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing JavaScript Source
Navigate,Open from Clipboard,Ctrl+Shift+V,In Windows
Terminal view commands,Paste,Ctrl+Shift+V,Terminal Control in Focus
File,Close All,Ctrl+Shift+W,In Windows
Text Editing,To Upper Case,Ctrl+Shift+X,Editing Text
Text Editing,To Lower Case,Ctrl+Shift+Y,Editing Text
Edit,Content Assist,Ctrl+Space,In Dialogs and Windows
Navigate,Quick Hierarchy,Ctrl+T,Editing Java Source
Navigate,Quick Hierarchy,Ctrl+T,Editing JavaScript Source
Run/Debug,Toggle Memory Monitors Pane,Ctrl+T,In Memory View
Run/Debug,Execute,Ctrl+U,In Windows
Text Editing,Scroll Line Up,Ctrl+Up,Editing Text
Uncategorized,Close replace bar,Ctrl+Up,Inline Search is active
Edit,Paste,Ctrl+V,In Dialogs and Windows
Git,Paste Repository Path or URI,Ctrl+V,In Git Repositories View
File,Close,Ctrl+W,In Windows
Run/Debug,Close Rendering,Ctrl+W,In Memory View
Edit,Cut,Ctrl+X,In Dialogs and Windows
Edit,Redo,Ctrl+Y,In Dialogs and Windows
Edit,Undo,Ctrl+Z,In Dialogs and Windows
Run/Debug,EOF,Ctrl+Z,In I/O Console
Window,Toggle Split Editor (Vertical),Ctrl+{,In Windows
Edit,Delete,Delete,In Windows
Text Editing,Line End,End,Editing Text
Uncategorized,Show Markup Cheat Sheet,F1,WikiText Markup Source Context
Run/Debug,Debug,F11,In Windows
Window,Activate Editor,F12,In Windows
File,Rename,F2,In Windows
Text Editing,Show Tooltip Description,F2,Editing Text
Edit,Open Selection,F3,Editing in Structured Text Editors
Navigate,Open Declaration,F3,In Windows
Navigate,Open Declaration,F3,JavaScript View
Source,Open Declaration,F3,Editing Ant Buildfiles
Text Editing,Open Hyperlink,F3,in Generic Code Editor
Navigate,Open Type Hierarchy,F4,In Windows
Navigate,Open Type Hierarchy,F4,JavaScript View
Task Repositories,Show Tooltip Description,F4,In Tasks View
File,Refresh,F5,In Windows
Run/Debug,Step Into,F5,Debugging
Views,Refresh View (Gradle Tasks),F5,In Gradle Tasks View
Run/Debug,Step Over,F6,Debugging
Run/Debug,Step Return,F7,Debugging
Run/Debug,Resume,F8,Debugging
Text Editing,Line Start,Home,Editing Text
Task Repositories,New Local Task,Insert,In Tasks View
Text Editing,Toggle Overwrite,Insert,Editing Text
Edit,Cut,Shift+Delete,In Dialogs and Windows
SQL Results View,Remove All Visible Results,Shift+Delete,In Windows
Text Editing,Select Line End,Shift+End,Editing Text
Text Editing,Insert Line Below Current Line,Shift+Enter,Editing Text
Navigate,Open Attached Javadoc,Shift+F2,In Windows
Navigate,Open External JSDoc,Shift+F2,JavaScript View
Source,Open External Documentation,Shift+F2,Editing Ant Buildfiles
Run/Debug,Use Step Filters,Shift+F5,In Windows
Text Editing,Select Line Start,Shift+Home,Editing Text
Edit,Paste,Shift+Insert,In Dialogs and Windows
Task Repositories,New Subtask,Shift+Insert,In Tasks View
Terminal view commands,Paste,Shift+Insert,Terminal Control in Focus
,,,
